"id",id2,"unique_id","genus","species","sex",observedIT_mu,conversion_factor,ITlength_mm,head_width,head_length,head_depth,"tongue_type",cardo_mm,prementum_mm,glossa_mm,glossa_in_prem,tongue_mm,"measured_by","project","old_uniqueID","pixel_update","notes","note_2","X_val"
"2060_NAT.CIG2012_1074",2060,"NAT.CIG2012_1074","Heriades","carinata","female",NULL,NULL,1.479,1.873196786,NULL,NULL,"long",0.267,0.89,1.754,NULL,2.644,"GN","CIG","BJ_0184",NULL,"",NULL,NULL
"2061_NAT.CIG2012_1075",2061,"NAT.CIG2012_1075","Heriades","leavitti","female",NULL,NULL,1.379,NULL,NULL,NULL,"long",0.325,0.926,2.086,NULL,3.012,"GN","CIG","BJ_0158",NULL,"",NULL,NULL
"2062_NAT.CIG2012_1077",2062,"NAT.CIG2012_1077","Hylaeus","affinis_modestus","female",NULL,NULL,1.183,NULL,NULL,NULL,"short",0.577,0.662,0.324,NULL,0.986,"GN","CIG","JB_0062",NULL,"",NULL,NULL
"2063_NAT.CIG2012_1079",2063,"NAT.CIG2012_1079","Hylaeus","affinis_modestus","female",NULL,NULL,1.316,NULL,NULL,NULL,"short",0.589,0.729,0.328,NULL,1.057,"GN","CIG","DC_0451",NULL,"",NULL,NULL
"2064_NAT.CIG2012_1080",2064,"NAT.CIG2012_1080","Hylaeus","affinis_modestus","female",NULL,NULL,1.297,NULL,NULL,NULL,"short",0.525,0.633,0.288,NULL,0.921,"GN","CIG","DC_0453",NULL,"",NULL,NULL
"2065_NAT.CIG2012_1083",2065,"NAT.CIG2012_1083","Hylaeus","modestus","male",NULL,NULL,1.063,1.256416632,NULL,NULL,"short",NULL,0.596,0.317,NULL,0.913,"GN","CIG","DC_0082",NULL,"",NULL,NULL
"2066_NAT.CIG2012_1090",2066,"NAT.CIG2012_1090","Lasioglossum","callidum","female",NULL,NULL,1.251,1.618285742,NULL,NULL,"short",0.845,0.939,0.498,NULL,1.437,"GN","CIG","DC_0397",NULL,"",NULL,NULL
"2067_NAT.CIG2012_1096",2067,"NAT.CIG2012_1096","Lasioglossum","callidum","female",NULL,NULL,1.363,NULL,NULL,NULL,"short",0.995,1.029,0.525,NULL,1.554,"BGJ","CIG","GN_0348",NULL,"",NULL,NULL
"2068_NAT.CIG2012_1100",2068,"NAT.CIG2012_1100","Lasioglossum","coreopsis","female",NULL,NULL,0.882,1.108225211,NULL,NULL,"short",0.854,0.885,0.252,NULL,1.137,"GN","CIG","DC_0384",NULL,"",NULL,NULL
"2069_NAT.CIG2012_1109",2069,"NAT.CIG2012_1109","Lasioglossum","coreopsis","female",NULL,NULL,0.85,1.066838572,NULL,NULL,"short",0.832,0.858,0.497,NULL,1.355,"GN","CIG","DC_0395",NULL,"",NULL,NULL
