"","genus_species","gs","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code.x","plant_genus_2013","plant_species_2013","plant_genus.x","plant_species.x","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","meanIT","meantongue","plant_code.y","depth","width","plant_genus.y","plant_species.y"
"39","Rudbeckia_hirta","Bombus_griseocollis","NAT.CIG2012_0269","2012_BWT",2012,2,"7/2/12","BW","AM",4,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","JWB",39.536073,-74.932563,"",NA,"","","",4.992607843,9.971809194,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"40","Rudbeckia_hirta","Bombus_griseocollis","NAT.CIG2012_0595","2012_BWT",2012,2,"7/2/12","BW","PM",3,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.536073,-74.932563,"",NA,"","","",4.992607843,9.971809194,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"41","Rudbeckia_hirta","Lasioglossum_tegulare","NAT.CIG2012_1151","2012_ALT",2012,2,"6/27/12","AL","AM",4,"T","R","Lasioglossum","tegulare","","f","J.Gibbs","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",40.926863,-74.813052,"",NA,"","","",0.926111111,1.281963492,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"42","Rudbeckia_hirta","Lasioglossum_pilosum","NAT.CIG2012_1136","2012_BWT",2012,1,"6/15/12","BW","AM",3,"T","L","Lasioglossum","pilosum","","f","J.Gibbs","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.536073,-74.932563,"",NA,"","","",1.222478261,1.673518762,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"43","Rudbeckia_hirta","Ceratina_calcarata_dupla_mikmaqi","NAT.CIG2012_0709","2012_DET",2012,2,"7/3/12","DF","PM",3,"T","R","Ceratina","calcarata_dupla_mikmaqi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.433914286,3.010522431,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"44","Rudbeckia_hirta","Bombus_impatiens","NAT.CIG2012_0447","2012_ALT",2012,4,"8/29/12","AL","AM",4,"T","R","Bombus","impatiens","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","JWB",40.926863,-74.813052,"",NA,"","","",4.930735632,9.853144515,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"45","Rudbeckia_hirta","Ceratina_calcarata_dupla_mikmaqi","NAT.CIG2012_0735","2012_DET",2012,3,"8/2/12","DF","AM",4,"T","R","Ceratina","calcarata_dupla_mikmaqi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","JWB",39.9198,-74.790006,"",NA,"","","",1.433914286,3.010522431,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"46","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0886","2012_BWT",2012,2,"7/2/12","BW","AM",3,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.536073,-74.932563,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"47","Rudbeckia_hirta","Agapostemon_virescens","NAT.CIG2012_0013","2012_MAT",2012,1,"6/14/12","MA","AM",4,"T","L","Agapostemon","virescens","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.263113,-74.719499,"",NA,"","","",2.085285714,2.794332176,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"48","Rudbeckia_hirta","Lasioglossum_pectorale","NAT.CIG2012_1124","2012_BWT",2012,2,"7/2/12","BW","AM",2,"T","L","Lasioglossum","pectorale","","f","J.Gibbs","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.536073,-74.932563,"",NA,"","","",1.407923077,1.916526624,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"49","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0909","2012_BWT",2012,3,"8/7/12","BW","AM",4,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.536073,-74.932563,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"50","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0969","2012_DET",2012,3,"8/2/12","DF","PM",4,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","JWB",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"51","Rudbeckia_hirta","","NAT.CIG2012_1391","2012_ABT",2012,1,"6/19/12","AB","PM",2,"T","R","","","","","J.Ascher","","0000-00-00","non-bee",NA,"RUHI","0","0","Rudbeckia","hirta","no","DPC",39.780504,-74.767308,"",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"52","Rudbeckia_hirta","Ceratina_sp","NAT.CIG2012_0817","2012_DET",2012,2,"7/3/12","DF","PM",2,"T","L","Ceratina","sp","","","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.9198,-74.790006,"",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"53","Rudbeckia_hirta","Melissodes_trinodis","NAT.CIG2012_1313","2012_BWT",2012,2,"7/2/12","BW","AM",1,"T","L","Melissodes","trinodis","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.536073,-74.932563,"",NA,"","","",2.72,5.566289004,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"54","Rudbeckia_hirta","Bombus_griseocollis","NAT.CIG2012_0268","2012_BWT",2012,2,"7/2/12","BW","AM",2,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.536073,-74.932563,"",NA,"","","",4.992607843,9.971809194,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"55","Rudbeckia_hirta","Ceratina_calcarata_dupla_mikmaqi","NAT.CIG2012_0737","2012_DET",2012,3,"8/2/12","DF","AM",2,"T","R","Ceratina","calcarata_dupla_mikmaqi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.433914286,3.010522431,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"56","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0975","2012_DET",2012,3,"8/2/12","DF","AM",2,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"57","Rudbeckia_hirta","Bombus_impatiens","NAT.CIG2012_0427","2012_ALT",2012,3,"7/27/12","AL","AM",4,"T","L","Bombus","impatiens","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",40.926863,-74.813052,"",NA,"","","",4.930735632,9.853144515,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"58","Rudbeckia_hirta","Bombus_griseocollis","NAT.CIG2012_0584","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","R","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"59","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0947","2012_DET",2012,2,"7/3/12","DF","AM",3,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"60","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0954","2012_DET",2012,2,"7/3/12","DF","AM",4,"T","L","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"61","Rudbeckia_hirta","Bombus_griseocollis","NAT.CIG2012_0564","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"62","Rudbeckia_hirta","","NAT.CIG2012_1395","2012_ABT",2012,1,"6/19/12","AB","PM",1,"T","R","","","","","J.Ascher","","0000-00-00","non-bee",NA,"RUHI","0","0","Rudbeckia","hirta","no","GKN",39.780504,-74.767308,"",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
