,sc,year,site,treatment,transect,round,uniqueID,genus,species,gs,plant_genus,plant_species,genus_species
2544,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0181,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2545,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0182,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2546,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0183,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2547,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0184,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2548,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0185,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2549,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0186,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2550,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0187,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2551,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0188,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2552,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0189,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2553,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0190,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2554,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0191,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2555,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0192,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2556,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0193,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2557,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0194,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2558,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0195,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2559,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0196,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2560,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0197,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2561,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0198,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2562,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0199,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2563,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0200,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2564,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0201,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2565,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0202,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2566,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0203,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2567,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0204,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2568,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0205,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2569,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0206,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2570,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0207,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2571,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0208,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2572,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0209,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2573,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0210,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2574,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0211,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2575,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0212,Bombus,griseocollis,Bombus_griseocollis,Erigeron,philadelphicus,Erigeron_philadelphicus
2576,2012_ABT,2012,AB,T,4,1,NAT.CIG2012_0213,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2577,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0214,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2578,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0215,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2579,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0216,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2580,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0217,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2581,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0218,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2582,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0219,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2583,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0220,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2584,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0221,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2585,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0222,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2586,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0223,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2587,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0224,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2588,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0225,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2589,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0226,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2590,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0227,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2591,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0228,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2592,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0229,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2593,2012_ABT,2012,AB,T,4,2,NAT.CIG2012_0230,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2594,2012_ABT,2012,AB,T,4,2,NAT.CIG2012_0231,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2595,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0232,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2596,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0233,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2597,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0234,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2598,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0235,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2599,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0236,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2600,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0237,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2601,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0238,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2602,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0239,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2603,2012_ABT,2012,AB,T,3,2,NAT.CIG2012_0240,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2604,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0241,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2605,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0242,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2606,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0243,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2607,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0244,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2608,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0245,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2609,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0246,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2610,2012_ABT,2012,AB,T,4,2,NAT.CIG2012_0247,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2611,2012_ABT,2012,AB,T,4,2,NAT.CIG2012_0248,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2612,2012_ABT,2012,AB,T,3,2,NAT.CIG2012_0249,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2613,2012_ALT,2012,AL,T,2,1,NAT.CIG2012_0250,Bombus,griseocollis,Bombus_griseocollis,Leucanthemum,vulgare,Leucanthemum_vulgare
2614,2012_ALT,2012,AL,T,3,3,NAT.CIG2012_0251,Bombus,griseocollis,Bombus_griseocollis,Coreopsis,lanceolata,Coreopsis_lanceolata
2615,2012_ALT,2012,AL,T,3,3,NAT.CIG2012_0252,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2616,2012_ALT,2012,AL,T,3,3,NAT.CIG2012_0253,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2617,2012_ALT,2012,AL,T,3,3,NAT.CIG2012_0254,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2618,2012_ALT,2012,AL,T,3,3,NAT.CIG2012_0255,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2619,2012_ALT,2012,AL,T,2,3,NAT.CIG2012_0256,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2620,2012_ALT,2012,AL,T,2,3,NAT.CIG2012_0257,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2621,2012_ALT,2012,AL,T,2,3,NAT.CIG2012_0258,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2622,2012_ALT,2012,AL,T,3,3,NAT.CIG2012_0259,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2623,2012_ALT,2012,AL,T,1,3,NAT.CIG2012_0260,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2624,2012_BWT,2012,BW,T,2,2,NAT.CIG2012_0261,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2625,2012_BWT,2012,BW,T,3,2,NAT.CIG2012_0262,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2626,2012_BWT,2012,BW,T,1,2,NAT.CIG2012_0263,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2627,2012_BWT,2012,BW,T,4,2,NAT.CIG2012_0264,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2628,2012_BWT,2012,BW,T,2,2,NAT.CIG2012_0265,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2629,2012_BWT,2012,BW,T,4,2,NAT.CIG2012_0266,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2630,2012_BWT,2012,BW,T,2,2,NAT.CIG2012_0267,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2631,2012_BWT,2012,BW,T,2,2,NAT.CIG2012_0268,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2632,2012_BWT,2012,BW,T,4,2,NAT.CIG2012_0269,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2633,2012_BWT,2012,BW,T,3,2,NAT.CIG2012_0270,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2634,2012_BWT,2012,BW,T,1,2,NAT.CIG2012_0271,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2635,2012_BWT,2012,BW,T,3,3,NAT.CIG2012_0272,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2636,2012_BWT,2012,BW,T,4,3,NAT.CIG2012_0273,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2637,2012_BWT,2012,BW,T,4,3,NAT.CIG2012_0274,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2638,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0275,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2639,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0276,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2640,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0277,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2641,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0278,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2642,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0279,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2643,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0280,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2644,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0281,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2645,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0282,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2646,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0283,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2647,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0284,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2648,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0285,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2649,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0286,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2650,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0287,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2651,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0288,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2652,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0289,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2653,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0290,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2654,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0291,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2655,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0292,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2656,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0293,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2657,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0294,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2658,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0295,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2659,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0296,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2660,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0297,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2661,2012_ROT,2012,RO,T,2,1,NAT.CIG2012_0298,Bombus,griseocollis,Bombus_griseocollis,Coreopsis,lanceolata,Coreopsis_lanceolata
2662,2012_ROT,2012,RO,T,4,2,NAT.CIG2012_0299,Bombus,griseocollis,Bombus_griseocollis,Coreopsis,lanceolata,Coreopsis_lanceolata
2663,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0300,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2664,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0301,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2665,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0302,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2666,2012_ABT,2012,AB,T,3,2,NAT.CIG2012_0303,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2667,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0304,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2668,2012_ABT,2012,AB,T,4,2,NAT.CIG2012_0305,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2669,2012_ABT,2012,AB,T,4,2,NAT.CIG2012_0306,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2670,2012_MAT,2012,MA,T,1,1,NAT.CIG2012_0307,Bombus,griseocollis,Bombus_griseocollis,Trifolium,pratense,Trifolium_pratense
2671,2012_MAT,2012,MA,T,2,2,NAT.CIG2012_0308,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2672,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0309,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2673,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0310,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2674,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0311,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2675,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0312,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2676,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0313,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2677,2012_ABC,2012,AB,C,2,1,NAT.CIG2012_0314,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2678,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0315,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2679,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0316,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2680,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0317,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2681,2012_ABC,2012,AB,C,1,1,NAT.CIG2012_0318,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2682,2012_ABT,2012,AB,T,4,1,NAT.CIG2012_0319,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2683,2012_ABT,2012,AB,T,4,1,NAT.CIG2012_0320,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2684,2012_ABT,2012,AB,T,3,1,NAT.CIG2012_0321,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2685,2012_ABT,2012,AB,T,2,1,NAT.CIG2012_0322,Bombus,griseocollis,Bombus_griseocollis,Trifolium,arvense,Trifolium_arvense
2686,2012_ABT,2012,AB,T,1,1,NAT.CIG2012_0323,Bombus,griseocollis,Bombus_griseocollis,Trifolium,arvense,Trifolium_arvense
2687,2012_ABT,2012,AB,T,1,1,NAT.CIG2012_0324,Bombus,griseocollis,Bombus_griseocollis,Trifolium,arvense,Trifolium_arvense
2688,2012_ABT,2012,AB,T,3,1,NAT.CIG2012_0325,Bombus,griseocollis,Bombus_griseocollis,Trifolium,arvense,Trifolium_arvense
2689,2012_ABT,2012,AB,T,2,1,NAT.CIG2012_0326,Bombus,griseocollis,Bombus_griseocollis,Trifolium,arvense,Trifolium_arvense
2690,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0327,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2691,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0328,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2692,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0329,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2693,2012_ABT,2012,AB,T,1,2,NAT.CIG2012_0330,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2694,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0331,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2695,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0332,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2696,2012_ABT,2012,AB,T,4,2,NAT.CIG2012_0333,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2697,2012_ABT,2012,AB,T,4,2,NAT.CIG2012_0334,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2698,2012_ABT,2012,AB,T,3,2,NAT.CIG2012_0335,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2699,2012_ABT,2012,AB,T,3,2,NAT.CIG2012_0336,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2700,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0337,Bombus,griseocollis,Bombus_griseocollis,Monarda,fistulosa,Monarda_fistulosa
2701,2012_ABT,2012,AB,T,2,2,NAT.CIG2012_0338,Bombus,griseocollis,Bombus_griseocollis,Rudbeckia,hirta,Rudbeckia_hirta
2702,2012_BWC,2012,BW,C,2,2,NAT.CIG2012_0339,Bombus,griseocollis,Bombus_griseocollis,Hypericum,perforatum,Hypericum_perforatum
2703,2012_BWC,2012,BW,C,2,2,NAT.CIG2012_0340,Bombus,griseocollis,Bombus_griseocollis,Hypericum,perforatum,Hypericum_perforatum
2704,2012_BWT,2012,BW,T,2,2,NAT.CIG2012_0341,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2705,2012_BWT,2012,BW,T,4,2,NAT.CIG2012_0342,Bombus,griseocollis,Bombus_griseocollis,Gaillardia,pulchella,Gaillardia_pulchella
2706,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0343,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2707,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0344,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2708,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0345,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2709,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0346,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2710,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0347,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2711,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0348,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2712,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0349,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2713,2012_ROC,2012,RO,C,3,2,NAT.CIG2012_0350,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2714,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0351,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2715,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0352,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2716,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0353,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2717,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0354,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
2718,2012_ROC,2012,RO,C,4,2,NAT.CIG2012_0355,Bombus,griseocollis,Bombus_griseocollis,Asclepias,syriaca,Asclepias_syriaca
