"","genus_species","gs","X","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code.x","plant_genus_2013","plant_species_2013","plant_genus.x","plant_species.x","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","Problem","status","project","meanIT","meantongue","plant_code.y","depth","width","plant_genus.y","plant_species.y"
"322","Monarda_fistulosa","Bombus_impatiens",8582,"NCIG2013_7207","2013_DandRT",2013,3,"7/24/13","DR","AM",2,"T","L","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","SM",40.298445,-74.56289,"",3,NA,"2ndp","",NA,"CHECK","Davis_NJ_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"323","Monarda_fistulosa","Bombus_bimaculatus",11176,"XCIG2013_4915","2013_ALT",2013,2,"7/18/13","AL","PM",2,"T","","Bombus","bimaculatus",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","JZ",40.926863,-74.813052,"",3,NA,"",NA,NA,"CHECK","NJ_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"324","Monarda_fistulosa","Bombus_griseocollis",8296,"NCIG2013_4081","2013_RandLT",2013,2,"7/16/13","RL","PM",3,"T","L","Bombus","griseocollis",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","MR",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"325","Monarda_fistulosa","Bombus_auricomus",3404,"XCIG2014_1782","2014_SHT",2014,2,"7/11/14","SH","AM",1,"T","NULL","Bombus","auricomus",NA,"f","Gibbs","","12/1/14","bee",NA,"MOFI",NA,NA,"Monarda","fistulosa",NA,"MR",39.330081,-75.251231,NA,NA,NA,NA,NA,NA,"KEPT","NJ_CIG",5.302083333,10.56448403,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"326","Monarda_fistulosa","Bombus_griseocollis",5701,"XCIG2015_5538","2015_ABT",2015,2,"6/30/15","AB","AM",1,"T",NA,"Bombus","griseocollis",NA,"f","J. Gibbs","","11/11/15","bee",22,"MOFI",NA,NA,"Monarda","fistulosa",NA,"ES",39.7805,-74.76731,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"327","Monarda_fistulosa","Augochlorella_persimilis",6434,"XCIG2015_6191","2015_FHC",2015,3,"7/28/15","FH","PM",2,"C",NA,"Augochlorella","persimilis",NA,"f","J. Gibbs","","11/11/15","bee",9,"MOFI",NA,NA,"Monarda","fistulosa",NA,"JZ",40.69439,-74.75404,NA,NA,NA,NA,NA,NA,"KEPT","NJ_CIG",1.27,1.735923804,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"328","Monarda_fistulosa","Bombus_impatiens",8228,"NCIG2013_4062","2013_RandLT",2013,2,"7/16/13","RL","AM",4,"T","L","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","JZ",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"329","Monarda_fistulosa","Xylocopa_virginica",8267,"NCIG2013_4052","2013_RandLT",2013,2,"7/16/13","RL","PM",1,"T","R","Xylocopa","virginica",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",6.082,12.05213985,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"330","Monarda_fistulosa","Bombus_griseocollis",8714,"NCIG2013_4747","2013_DandRT",2013,3,"7/24/13","DR","PM",4,"T","R","Bombus","griseocollis",NA,"m","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",40.298445,-74.56289,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"331","Monarda_fistulosa","Bombus_griseocollis",331,"NAT.CIG2012_0336","2012_ABT",2012,2,"7/9/12","AB","PM",3,"T","L","Bombus","griseocollis","","f","J.Ascher","","11/11/12","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","BGJ",39.780504,-74.767308,"",NA,"","","",NA,"CHECK","Davis_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"332","Monarda_fistulosa","Bombus_impatiens",6733,"XCIG2015_6556","2015_ROT",2015,3,"7/29/15","RO","PM",1,"T",NA,"Bombus","impatiens",NA,"f","J. Gibbs","","11/11/15","bee",22,"MOFI",NA,NA,"Monarda","fistulosa",NA,"JZ",40.88449,-75.01252,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"333","Monarda_fistulosa","Bombus_bimaculatus",7710,"NCIG2013_3085","2013_FHT",2013,2,"7/8/13","FH","AM",3,"T","L","Bombus","bimaculatus",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",40.695583,-74.755843,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"334","Monarda_fistulosa","Bombus_griseocollis",218,"NAT.CIG2012_0223","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","R","Bombus","griseocollis","","m","J.Ascher","","11/11/12","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",NA,"CHECK","Davis_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
