site,observer,collection_date,plant_genus,plant_species,individual_plant,inf_number,flower_number,c_width_px,c_depth1_px,c_depth2_px,c_depth3_px,c_width_mm,c_width_mm_calipers,c_depth1_mm,c_depth2_mm,magnification,flower_type,photo_reference,plant_code,,**make sure all measurement photos are saved in jp2 format
SS,RT,9-Jul,Trifolium,pratense,b,1,3,249.85,2368.84,,,0.851066004,,8.068998171,,1,pea,,TRPR2,,*got depth of 7.86 with calipers
SS,RT,9-Jul,Trifolium,pratense,b,1,4,234.6,2975.94,,,0.79911981,,10.13696764,,1,pea,,TRPR2,,*got depth of 9.55 with calipers
SS,RT,9-Jul,Trifolium,pratense,b,2,1,250.85,2248.02,,,0.854472312,,7.657448062,,1,,,,,*got depth of 7.17 with calipers
SS,RT,9-Jul,Trifolium,pratense,b,2,2,242.44,,,,0.825825263,,10.17,,1,,,,,
SS,RT,9-Jul,Trifolium,pratense,c,1,1,260.89,,,,0.888671642,,10.28,,1,,,,,
SS,RT,9-Jul,Trifolium,pratense,c,1,2,285.45,,,,0.972330562,,10.28,,1,,,,,
SS,RT,9-Jul,Trifolium,pratense,d,1,1,285.7,,,,0.973182139,,10.89,,1,,,,,
SS,RT,9-Jul,Trifolium,pratense,d,1,2,292.23,,,,0.995425329,,10.74,,1,,,,,
SS,RT,9-Jul,Trifolium,pratense,e,1,1,267.67,,,,0.911766409,,9.97,,1,,,,,
SS,RT,9-Jul,Trifolium,pratense,e,1,2,208.46,,,,0.710078924,,10.06,,1,,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,a,1,1,319.79,1383.61,,,1.089303172,,4.713001536,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,a,1,2,418.33,672.46,,,1.424960742,,2.290605744,,1,ray,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,a,1,3,364.03,1370.09,,,1.239998229,,4.666948255,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,a,1,4,433.69,685.68,,,1.47728163,,2.335637133,,1,ray,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,b,1,1,353.75,1168.15,,,1.204981385,,3.979078457,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,b,1,2,350.58,1197,,,1.194183389,,4.077350438,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,b,1,3,328.8,517.72,,,1.119994005,,1.763513675,,1,ray ,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,b,1,4,399.94,502.7,,,1.362318742,,1.712350931,,1,ray,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,c,1,1,369.58,1174.97,,,1.258903237,,4.002309477,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,c,1,2,422.02,1164,,,1.437530018,,3.96494228,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,c,1,3,455.89,704.36,,,1.552901663,,2.399266963,,1,ray,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,c,1,4,533.16,845.7,,,1.816107067,,2.880714507,,1,ray,,,,large flower
NENE,RT,9-Jul,Echinacea ,purpurea,d,1,1,330.22,1493.16,,,1.124830962,,5.086162556,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,d,1,2,391.45,1946.42,,,1.333399189,,6.63010563,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,d,1,3,462.52,864.59,,,1.575485484,,2.945059661,,1,ray,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,d,1,4,504.42,758.92,,,1.718209781,,2.585115116,,1,ray,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,e,1,1,404,1337.6,,,1.376148352,,4.556277314,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,e,1,2,451.6,1371.67,,,1.538288603,,4.672330221,,1,disc,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,e,1,3,458.96,694.12,,,1.563359028,,2.364386371,,1,ray,,,,
NENE,RT,9-Jul,Echinacea ,purpurea,e,1,4,464.46,604.44,,,1.582093721,,2.058908687,,1,ray,,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,a,1,1,224.08,1210.58,,,0.763285452,,4.123608097,,1,disc,,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,a,1,2,245.14,1224.44,,,0.835022294,,4.170819524,,1,disc,,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,a,1,3,269.29,1212.88,,,0.917284628,,4.131442605,,1,disc,,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,b,1,1,229.52,1413.05,,,0.781815766,,4.813283238,,1,disc,,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,b,1,2,342.29,1393.29,,,1.165945097,,4.745974596,,1,disc,,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,b,1,3,345.41,1419.36,,,1.176572777,,4.83477704,,1,disc,,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,c,1,1,282.35,1189.03,,,0.961771008,,4.050202164,,1,disc,,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,c,1,2,314.99,1161.1,,,1.072952894,,3.955063987,,1,disc,,,,
NENE,JZ,13-Jul,Heliopsis,helianthoides,c,1,3,302.13,1108.29,,,1.029147776,,3.775176873,,1,disc,,,,
