uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,ssp,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,problem?
NAT.CIG2012_0173,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0174,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0175,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0176,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0177,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0178,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0179,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0180,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0181,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0182,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0183,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0184,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0185,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0187,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0188,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0189,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0190,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0191,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0192,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0193,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0194,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0195,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0312,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,f,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0313,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,f,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0314,2012_ABC,2012,1,6/19/12,AB,PM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,f,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_1383,2012_ABC,2012,1,6/19/12,AB,PM,2,C,L,Xylocopa,virginica,Xylocopa_virginica,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0323,2012_ABT,2012,1,6/19/12,AB,AM,1,T,L,Bombus,griseocollis,Bombus_griseocollis,,f,J.Ascher,,0000-00-00,bee,,TRAR4,Trifolium,arvense,Trifolium,arvense,Trifolium_arvense,no,GKN,39.780504,-74.767308,,,,,
NAT.CIG2012_0324,2012_ABT,2012,1,6/19/12,AB,AM,1,T,R,Bombus,griseocollis,Bombus_griseocollis,,f,J.Ascher,,0000-00-00,bee,,TRAR4,Trifolium,arvense,Trifolium,arvense,Trifolium_arvense,no,GKN,39.780504,-74.767308,,,,,
NAT.CIG2012_1387,2012_ABT,2012,1,6/19/12,AB,AM,1,T,R,,,,,,J.Ascher,,0000-00-00,non-bee,,RUHI,0,0,Rudbeckia,hirta,Rudbeckia_hirta,no,GKN,39.780504,-74.767308,,,,,
NAT.CIG2012_0002,2012_ABT,2012,1,6/19/12,AB,AM,2,T,R,Agapostemon,virescens,Agapostemon_virescens,,f,J.Ascher,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,Monarda_fistulosa,yes,DPC,39.780504,-74.767308,,,,,
